edge(v0, v951).
edge(v1, v43).
edge(v1, v202).
edge(v1, v277).
edge(v1, v419).
edge(v1, v426).
edge(v1, v495).
edge(v1, v610).
edge(v1, v723).
edge(v1, v849).
edge(v1, v875).
edge(v1, v883).
edge(v2, v24).
edge(v2, v124).
edge(v2, v367).
edge(v2, v543).
edge(v2, v602).
edge(v2, v734).
edge(v2, v845).
edge(v2, v902).
edge(v2, v919).
edge(v3, v7).
edge(v3, v53).
edge(v3, v399).
edge(v3, v427).
edge(v3, v430).
edge(v3, v474).
edge(v3, v803).
edge(v4, v269).
edge(v4, v349).
edge(v4, v505).
edge(v4, v537).
edge(v4, v894).
edge(v4, v935).
edge(v5, v238).
edge(v5, v451).
edge(v5, v452).
edge(v5, v526).
edge(v5, v916).
edge(v6, v60).
edge(v6, v98).
edge(v6, v214).
edge(v6, v552).
edge(v6, v561).
edge(v6, v619).
edge(v6, v724).
edge(v7, v54).
edge(v7, v150).
edge(v7, v281).
edge(v7, v877).
edge(v8, v78).
edge(v8, v154).
edge(v8, v371).
edge(v8, v420).
edge(v8, v449).
edge(v8, v663).
edge(v8, v773).
edge(v8, v844).
edge(v9, v101).
edge(v9, v216).
edge(v9, v348).
edge(v9, v441).
edge(v9, v644).
edge(v9, v650).
edge(v9, v842).
edge(v10, v136).
edge(v10, v137).
edge(v10, v146).
edge(v10, v151).
edge(v10, v245).
edge(v10, v474).
edge(v10, v497).
edge(v10, v498).
edge(v10, v510).
edge(v10, v595).
edge(v10, v864).
edge(v10, v961).
edge(v10, v964).
edge(v10, v993).
edge(v11, v157).
edge(v11, v301).
edge(v11, v412).
edge(v11, v415).
edge(v11, v442).
edge(v11, v525).
edge(v11, v651).
edge(v11, v696).
edge(v11, v733).
edge(v11, v857).
edge(v11, v962).
edge(v12, v601).
edge(v12, v745).
edge(v12, v748).
edge(v13, v59).
edge(v13, v91).
edge(v13, v130).
edge(v13, v143).
edge(v13, v161).
edge(v13, v524).
edge(v13, v574).
edge(v13, v676).
edge(v13, v680).
edge(v13, v892).
edge(v13, v932).
edge(v14, v158).
edge(v14, v333).
edge(v14, v447).
edge(v14, v829).
edge(v14, v895).
edge(v15, v124).
edge(v15, v129).
edge(v15, v797).
edge(v16, v187).
edge(v16, v252).
edge(v16, v306).
edge(v16, v376).
edge(v16, v397).
edge(v16, v464).
edge(v16, v682).
edge(v17, v18).
edge(v17, v576).
edge(v17, v818).
edge(v17, v929).
edge(v17, v991).
edge(v17, v994).
edge(v18, v32).
edge(v18, v94).
edge(v18, v269).
edge(v18, v506).
edge(v18, v535).
edge(v18, v674).
edge(v18, v718).
edge(v18, v755).
edge(v18, v781).
edge(v18, v983).
edge(v19, v146).
edge(v19, v448).
edge(v19, v769).
edge(v19, v955).
edge(v19, v992).
edge(v20, v156).
edge(v20, v176).
edge(v20, v392).
edge(v20, v561).
edge(v20, v591).
edge(v20, v900).
edge(v21, v52).
edge(v21, v178).
edge(v21, v181).
edge(v21, v193).
edge(v21, v644).
edge(v21, v825).
edge(v21, v838).
edge(v22, v447).
edge(v22, v504).
edge(v22, v768).
edge(v22, v788).
edge(v22, v917).
edge(v23, v400).
edge(v23, v487).
edge(v23, v583).
edge(v23, v785).
edge(v23, v788).
edge(v23, v975).
edge(v24, v202).
edge(v24, v343).
edge(v24, v807).
edge(v25, v519).
edge(v26, v191).
edge(v26, v193).
edge(v26, v602).
edge(v26, v789).
edge(v26, v803).
edge(v26, v841).
edge(v27, v106).
edge(v27, v226).
edge(v27, v365).
edge(v27, v393).
edge(v27, v975).
edge(v28, v269).
edge(v28, v365).
edge(v28, v515).
edge(v28, v721).
edge(v28, v967).
edge(v29, v346).
edge(v29, v419).
edge(v29, v573).
edge(v29, v583).
edge(v29, v667).
edge(v29, v823).
edge(v29, v835).
edge(v29, v845).
edge(v29, v884).
edge(v30, v37).
edge(v30, v164).
edge(v30, v443).
edge(v30, v635).
edge(v30, v665).
edge(v31, v686).
edge(v31, v710).
edge(v31, v927).
edge(v31, v943).
edge(v32, v280).
edge(v32, v306).
edge(v32, v396).
edge(v32, v960).
edge(v33, v71).
edge(v33, v74).
edge(v33, v104).
edge(v33, v286).
edge(v33, v624).
edge(v34, v75).
edge(v34, v142).
edge(v34, v298).
edge(v34, v335).
edge(v34, v467).
edge(v34, v756).
edge(v35, v50).
edge(v35, v267).
edge(v35, v288).
edge(v35, v340).
edge(v35, v430).
